Sample	Technology	Mode	Caller	VariantType	TP	FP	FN	Precision	Recall	F1
COLO829-PB	PacBio	paired	clairs	SNV	35286	3289	1135	0.9147	0.9688	0.9410
COLO829-PB	PacBio	paired	clairs	indel	444	382	87	0.5375	0.8362	0.6544
COLO829-PB	PacBio	paired	clairs	all	35730	3671	1222	0.9068	0.9669	0.9359
COLO829-PB	PacBio	paired	deepsomatic	SNV	35704	4472	717	0.8887	0.9803	0.9323
COLO829-PB	PacBio	paired	deepsomatic	indel	447	471	84	0.4869	0.8418	0.6170
COLO829-PB	PacBio	paired	deepsomatic	all	36151	4943	801	0.8797	0.9783	0.9264
COLO829-PB	PacBio	paired	consensus	SNV	35269	3221	1152	0.9163	0.9684	0.9416
COLO829-PB	PacBio	paired	consensus	indel	429	219	102	0.6620	0.8079	0.7277
COLO829-PB	PacBio	paired	consensus	all	35698	3440	1254	0.9121	0.9661	0.9383
COLO829-PB	PacBio	paired	summed	SNV	35721	4540	700	0.8872	0.9808	0.9317
COLO829-PB	PacBio	paired	summed	indel	462	634	69	0.4215	0.8701	0.5679
COLO829-PB	PacBio	paired	summed	all	36183	5174	769	0.8749	0.9792	0.9241
COLO829-PB-TO	PacBio	tumor_only	clairsto	SNV	23847	12804	12574	0.6507	0.6548	0.6527
COLO829-PB-TO	PacBio	tumor_only	clairsto	indel	189	732	342	0.2052	0.3559	0.2603
COLO829-PB-TO	PacBio	tumor_only	clairsto	all	24036	13536	12916	0.6397	0.6505	0.6451
COLO829-PB-TO	PacBio	tumor_only	deepsomatic	SNV	34801	32462	1620	0.5174	0.9555	0.6713
COLO829-PB-TO	PacBio	tumor_only	deepsomatic	indel	259	6215	272	0.0400	0.4878	0.0739
COLO829-PB-TO	PacBio	tumor_only	deepsomatic	all	35060	38677	1892	0.4755	0.9488	0.6335
COLO829-PB-TO	PacBio	tumor_only	consensus	SNV	23711	12497	12710	0.6549	0.6510	0.6529
COLO829-PB-TO	PacBio	tumor_only	consensus	indel	143	561	388	0.2031	0.2693	0.2316
COLO829-PB-TO	PacBio	tumor_only	consensus	all	23854	13058	13098	0.6462	0.6455	0.6459
COLO829-PB-TO	PacBio	tumor_only	summed	SNV	35003	33010	1418	0.5147	0.9611	0.6703
COLO829-PB-TO	PacBio	tumor_only	summed	indel	308	6417	223	0.0458	0.5800	0.0849
COLO829-PB-TO	PacBio	tumor_only	summed	all	35311	39427	1641	0.4725	0.9556	0.6323
COLO829-ONT	ONT	paired	clairs	SNV	34187	5461	2234	0.8623	0.9387	0.8988
COLO829-ONT	ONT	paired	clairs	indel	415	287	116	0.5912	0.7815	0.6732
COLO829-ONT	ONT	paired	clairs	all	34602	5748	2350	0.8575	0.9364	0.8952
COLO829-ONT	ONT	paired	deepsomatic	SNV	34384	5943	2037	0.8526	0.9441	0.8960
COLO829-ONT	ONT	paired	deepsomatic	indel	419	272	112	0.6064	0.7891	0.6858
COLO829-ONT	ONT	paired	deepsomatic	all	34803	6215	2149	0.8485	0.9418	0.8927
COLO829-ONT	ONT	paired	consensus	SNV	34117	4881	2304	0.8748	0.9367	0.9047
COLO829-ONT	ONT	paired	consensus	indel	396	127	135	0.7572	0.7458	0.7514
COLO829-ONT	ONT	paired	consensus	all	34513	5008	2439	0.8733	0.9340	0.9026
COLO829-ONT	ONT	paired	summed	SNV	34454	6523	1967	0.8408	0.9460	0.8903
COLO829-ONT	ONT	paired	summed	indel	438	432	93	0.5034	0.8249	0.6253
COLO829-ONT	ONT	paired	summed	all	34892	6955	2060	0.8338	0.9443	0.8856
COLO829-ONT-TO	ONT	tumor_only	clairsto	SNV	32512	20129	3909	0.6176	0.8927	0.7301
COLO829-ONT-TO	ONT	tumor_only	clairsto	indel	218	873	313	0.1998	0.4105	0.2688
COLO829-ONT-TO	ONT	tumor_only	clairsto	all	32730	21002	4222	0.6091	0.8857	0.7218
COLO829-ONT-TO	ONT	tumor_only	deepsomatic	SNV	33598	37904	2823	0.4699	0.9225	0.6226
COLO829-ONT-TO	ONT	tumor_only	deepsomatic	indel	152	5085	379	0.0290	0.2863	0.0527
COLO829-ONT-TO	ONT	tumor_only	deepsomatic	all	33750	42989	3202	0.4398	0.9133	0.5937
COLO829-ONT-TO	ONT	tumor_only	consensus	SNV	32255	19160	4166	0.6273	0.8856	0.7344
COLO829-ONT-TO	ONT	tumor_only	consensus	indel	93	280	438	0.2493	0.1751	0.2058
COLO829-ONT-TO	ONT	tumor_only	consensus	all	32348	19440	4604	0.6246	0.8754	0.7291
COLO829-ONT-TO	ONT	tumor_only	summed	SNV	33889	39313	2532	0.4630	0.9305	0.6183
COLO829-ONT-TO	ONT	tumor_only	summed	indel	322	5902	209	0.0517	0.6064	0.0953
COLO829-ONT-TO	ONT	tumor_only	summed	all	34211	45215	2741	0.4307	0.9258	0.5879
