chromosome	start	end	germlineStatus	bafCount	observedBAF	minorAlleleCopyNumber	minorAlleleCopyNumberDeviation	observedTumorRatio	observedNormalRatio	unnormalisedObservedNormalRatio	majorAlleleCopyNumber	majorAlleleCopyNumberDeviation	deviationPenalty	tumorCopyNumber	fittedTumorCopyNumber	fittedBAF	refNormalisedCopyNumber	ratioSupport	support	depthWindowCount	tumorBAF	gcContent	eventPenalty	minStart	maxStart
chr1	1	77000	UNKNOWN	0	0.0000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	1.5000	0.0000	0.0000	0.0000	0.0000	0.0000	true	TELOMERE	0	1.0000	0.0000	1.8000	1	1
chr1	77001	820000	UNKNOWN	14	0.8140	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	1.5000	1.3024	0.0000	0.0000	0.0000	0.0000	true	NONE	0	1.0000	0.0000	1.8000	77001	77001
chr1	820001	1366000	DIPLOID	257	0.8200	0.0167	0.1000	0.7228	1.0202	1.0278	2.1641	0.5204	0.5087	2.1807	0.0000	0.0000	2.1570	true	NONE	158	0.9924	0.6154	1.8590	1	820001
chr1	1366001	1367000	HET_DELETION	0	0.0000	0.6882	0.8209	0.4013	0.4908	0.4938	0.0000	1.5000	0.0000	0.6882	0.0000	0.0000	1.2863	true	NONE	1	0.0000	0.4340	1.5247	1366001	1366001
chr1	1367001	1368000	HET_DELETION	0	0.0000	0.0000	0.1000	0.1514	0.2894	0.2911	-0.4718	2.4579	0.0000	-0.4718	0.0000	0.0000	0.3628	true	NONE	1	1.0000	0.4700	1.9887	1367001	1367001
chr1	1368001	1444000	DIPLOID	8	0.8103	0.0055	0.1000	0.6733	0.9489	0.9540	1.9450	0.1875	0.2329	1.9505	0.0000	0.0000	2.0106	true	NONE	42	0.9972	0.5770	1.7758	1366001	1368001
chr1	1444001	1494000	AMPLIFICATION	12	0.9189	-0.1652	0.7712	1.1213	1.3787	1.3853	4.1954	0.6003	1.2602	4.0303	0.0000	0.0000	3.5855	true	NONE	15	1.0410	0.5392	2.7443	1444001	1448001
chr1	1494001	2018000	DIPLOID	299	0.8281	-0.0918	0.4452	0.6210	0.8978	0.8990	1.7997	0.6118	0.8753	1.7080	0.0000	0.0000	1.8280	true	NONE	303	1.0537	0.5350	1.7566	1444001	1499001
chr1	2018001	2019000	DIPLOID	0	0.0000	0.6743	0.8394	0.5436	1.1362	1.1336	0.6743	1.3279	0.0000	1.3487	0.0000	0.0000	1.1887	true	NONE	1	0.5000	0.5550	1.2605	2018001	2018001
chr1	2019001	2863000	DIPLOID	287	0.8125	0.0259	0.1000	0.7045	1.0314	1.0274	2.0697	0.2360	0.2730	2.0955	0.0000	0.0000	2.0587	true	NONE	351	0.9877	0.5860	1.8175	2019001	2020001
chr1	2863001	3055000	DIPLOID	101	0.8095	0.0664	0.2253	0.7393	1.0794	1.0732	2.1906	0.5886	0.6589	2.2571	0.0000	0.0000	2.1639	true	NONE	124	0.9706	0.5589	1.8497	2863001	2867001
chr1	3055001	3713000	DIPLOID	285	0.8070	0.0963	0.3219	0.7631	1.1456	1.1344	2.2712	0.7574	0.8710	2.3676	0.0000	0.0000	2.1965	true	NONE	361	0.9593	0.5843	1.8700	3055001	3055001
chr1	3713001	3725000	AMPLIFICATION	3	0.7800	0.1112	0.3681	0.6840	1.1765	1.1610	1.8892	0.3669	0.5734	2.0004	0.0000	0.0000	1.7931	true	NONE	2	0.9444	0.6240	1.7112	3713001	3721001
chr1	3725001	4063000	DIPLOID	320	0.8182	-0.0301	0.1483	0.6603	0.9926	0.9783	1.9205	0.2682	0.3407	1.8904	0.0000	0.0000	1.8991	true	NONE	297	1.0159	0.5150	1.7802	3713001	3725001
chr1	4063001	4067000	HET_DELETION	4	0.8406	-0.1329	0.6326	0.6139	0.4516	0.4445	1.8079	0.5921	1.0294	1.6750	0.0000	0.0000	2.3192	true	NONE	3	1.0794	0.5020	1.7763	4063001	4063001
chr1	4067001	4068000	HET_DELETION	2	0.8065	0.0197	0.1000	0.6760	0.6974	0.6864	1.9435	0.1922	0.2357	1.9633	0.0000	0.0000	2.3187	true	NONE	1	0.9900	0.5020	1.7695	4067001	4067001
chr1	4068001	6336000	DIPLOID	1765	0.8125	0.0146	0.1000	0.6916	1.0536	1.0224	2.0210	0.1000	0.1625	2.0357	0.0000	0.0000	1.9727	true	NONE	2088	0.9928	0.4876	1.8026	4063001	4068001
chr1	6336001	6348000	DIPLOID	0	0.0000	0.9014	0.3289	0.6414	1.0253	0.9872	0.9014	0.4768	0.0000	1.8029	0.0000	0.0000	1.7731	true	NONE	12	0.5000	0.5499	1.0788	6336001	6336001
chr1	6348001	6810000	DIPLOID	249	0.8235	-0.0758	0.3699	0.6243	0.9497	0.9133	1.7991	0.6133	0.8096	1.7233	0.0000	0.0000	1.7823	true	NONE	377	1.0440	0.5093	1.7500	6348001	6348001
chr1	6810001	6862000	DIPLOID	10	0.8229	-0.0456	0.2240	0.6590	0.9621	0.9238	1.9299	0.2374	0.3796	1.8843	0.0000	0.0000	1.9289	true	NONE	52	1.0242	0.4054	1.7902	6810001	6810001
chr1	6862001	7798000	DIPLOID	448	0.8136	0.0100	0.1000	0.6903	1.0590	1.0167	2.0197	0.1000	0.1627	2.0296	0.0000	0.0000	1.9603	true	NONE	883	0.9951	0.4856	1.8039	6862001	6862001
chr1	7798001	7840000	DIPLOID	0	0.0000	0.9439	0.1910	0.6598	0.9590	0.9196	0.9439	0.2751	0.0000	1.8878	0.0000	0.0000	1.9360	true	NONE	42	0.5000	0.3952	1.0449	7798001	7798001
chr1	7840001	8232000	DIPLOID	147	0.8140	-0.0729	0.3561	0.5958	0.9190	0.8820	1.6637	0.8527	0.9840	1.5908	0.0000	0.0000	1.6859	true	NONE	384	1.0459	0.4504	1.6947	7840001	7840001
chr1	8232001	8301000	HET_DELETION	52	0.8225	-0.1431	0.6771	0.5390	0.8411	0.8090	1.4704	0.9573	1.3442	1.3273	0.0000	0.0000	1.5140	true	NONE	69	1.1078	0.4669	1.6454	8232001	8232001
chr1	8301001	8325000	DIPLOID	18	0.7958	0.0181	0.1000	0.6389	0.9224	0.8874	1.7729	0.6722	0.6145	1.7910	0.0000	0.0000	1.8822	true	NONE	23	0.9899	0.4890	1.7019	8232001	8301001
chr1	8325001	8714000	DIPLOID	203	0.8095	0.0021	0.1000	0.6666	1.0180	0.9789	1.9175	0.2778	0.3059	1.9196	0.0000	0.0000	1.8985	true	NONE	351	0.9989	0.4281	1.7661	8325001	8325001
chr1	8714001	8746000	DIPLOID	4	0.8082	-0.0275	0.1354	0.6286	0.9931	0.9539	1.7709	0.6763	0.6560	1.7435	0.0000	0.0000	1.7515	true	NONE	32	1.0158	0.4099	1.7194	8714001	8714001
chr1	8746001	9231000	DIPLOID	146	0.8173	-0.0683	0.3340	0.6118	0.9158	0.8776	1.7336	0.7490	0.8851	1.6653	0.0000	0.0000	1.7642	true	NONE	461	1.0410	0.4771	1.7208	8746001	8746001
chr1	9231001	9236000	DIPLOID	0	0.0000	0.8006	0.6097	0.5980	1.0370	0.9920	0.8006	0.9088	0.0000	1.6012	0.0000	0.0000	1.5577	true	NONE	4	0.5000	0.5532	1.1595	9231001	9231001
chr1	9236001	9375000	DIPLOID	91	0.8140	0.0140	0.1000	0.6964	1.0498	1.0042	2.0440	0.1503	0.2038	2.0579	0.0000	0.0000	1.9994	true	NONE	123	0.9932	0.5326	1.8120	9236001	9236001
chr1	9375001	9457000	DIPLOID	27	0.8571	-0.1612	0.7544	0.6424	0.9480	0.9064	1.9685	0.1080	0.7392	1.8073	0.0000	0.0000	1.8684	true	NONE	81	1.0892	0.5125	1.8519	9375001	9375001
chr1	9457001	9836000	DIPLOID	139	0.8333	-0.1357	0.6449	0.5836	0.8902	0.8498	1.6701	0.8448	1.2414	1.5344	0.0000	0.0000	1.6633	true	NONE	341	1.0885	0.4970	1.7223	9457001	9457001
chr1	9836001	9910000	DIPLOID	6	0.8563	-0.1528	0.7187	0.6517	0.9905	0.9428	2.0032	0.1000	0.7011	1.8505	0.0000	0.0000	1.8616	true	NONE	69	1.0825	0.5172	1.8624	9836001	9836001
chr1	9910001	10254000	DIPLOID	92	0.8236	-0.1292	0.6159	0.5595	0.8658	0.8214	1.5517	0.9466	1.2869	1.4225	0.0000	0.0000	1.5801	true	NONE	338	1.0908	0.4502	1.6723	9910001	9911001
chr1	10254001	10422000	DIPLOID	132	0.8068	-0.0402	0.1981	0.6099	0.9354	0.8847	1.6964	0.8091	0.8125	1.6562	0.0000	0.0000	1.7321	true	NONE	166	1.0243	0.4294	1.6947	10254001	10254001
chr1	10422001	10424000	HET_DELETION	0	0.0000	0.0000	0.1000	0.2543	0.6460	0.6098	0.0058	1.5113	0.0000	0.0058	0.0000	0.0000	0.4216	true	NONE	2	1.0000	0.5100	1.7977	10422001	10422001
chr1	10424001	10507000	DIPLOID	4	0.7846	-0.0215	0.1059	0.5658	0.9017	0.8504	1.4732	0.9585	0.8351	1.4517	0.0000	0.0000	1.5672	true	NONE	79	1.0148	0.4731	1.5979	10422001	10424001
chr1	10507001	10596000	DIPLOID	1	0.6923	0.3332	0.8489	0.6445	0.9820	0.9250	1.4838	0.9629	1.2543	1.8170	0.0000	0.0000	1.8381	true	NONE	89	0.8166	0.4283	1.4602	10507001	10507001
chr1	10596001	10620000	DIPLOID	0	0.0000	1.0372	0.1274	0.7000	1.0936	1.0294	1.0372	0.1274	0.0000	2.0744	0.0000	0.0000	1.9645	true	NONE	24	0.5000	0.4698	1.0298	10596001	10596001
chr1	10620001	10715000	AMPLIFICATION	8	0.8282	0.0338	0.1157	0.7786	1.2587	1.1839	2.4057	0.9196	0.8574	2.4395	0.0000	0.0000	2.1356	true	NONE	59	0.9862	0.5879	1.9488	10620001	10620001
chr1	10715001	10870000	DIPLOID	79	0.8200	-0.0051	0.1000	0.6968	1.1125	1.0455	2.0649	0.2203	0.2626	2.0598	0.0000	0.0000	1.9276	true	NONE	141	1.0025	0.5355	1.8280	10620001	10716001
chr1	10870001	10877000	DIPLOID	0	0.0000	1.0468	0.1600	0.7041	0.9975	0.9369	1.0468	0.1600	0.0000	2.0937	0.0000	0.0000	2.0967	true	NONE	7	0.5000	0.5170	1.0375	10870001	10870001
